Downloading: "https://download.pytorch.org/models/convnext_base-6075fbad.pth" to /Users/martaalvarez/.cache/torch/hub/checkpoints/convnext_base-6075fbad.pth
100%|██████████| 338M/338M [02:39<00:00, 2.22MB/s] 
Epoch 1/7 - Train Loss: 1.1679, Train Accuracy: 0.6393
Epoch 1/7 - Validation Loss: 0.3009, Validation Accuracy: 0.9060
Epoch 2/7 - Train Loss: 0.4871, Train Accuracy: 0.8403
Epoch 2/7 - Validation Loss: 0.2117, Validation Accuracy: 0.9260
Epoch 3/7 - Train Loss: 0.4206, Train Accuracy: 0.8617
Epoch 3/7 - Validation Loss: 0.1759, Validation Accuracy: 0.9360
Epoch 4/7 - Train Loss: 0.3568, Train Accuracy: 0.8861
Epoch 4/7 - Validation Loss: 0.1727, Validation Accuracy: 0.9400
Epoch 5/7 - Train Loss: 0.3413, Train Accuracy: 0.8895
Epoch 5/7 - Validation Loss: 0.1347, Validation Accuracy: 0.9520
Epoch 6/7 - Train Loss: 0.2732, Train Accuracy: 0.9082
Epoch 6/7 - Validation Loss: 0.1170, Validation Accuracy: 0.9573
Epoch 7/7 - Train Loss: 0.2754, Train Accuracy: 0.9106
Epoch 7/7 - Validation Loss: 0.1785, Validation Accuracy: 0.9360
